Problem,Difficulty,Topic
Two Sum,Easy,Array
Best Time to Buy and Sell Stock,Easy,Array
Valid Parentheses,Easy,Stack
Binary Search,Easy,Binary Search
Merge Sorted Array,Easy,Two Pointers
3Sum,Medium,Array
Group Anagrams,Medium,HashMap
Longest Substring Without Repeating Characters,Medium,Sliding Window
Number of Islands,Medium,Graph
Course Schedule,Medium,Graph
Merge Intervals,Medium,Intervals
Word Ladder,Hard,Graph
Median of Two Sorted Arrays,Hard,Binary Search
LFU Cache,Hard,Design
Regular Expression Matching,Hard,Dynamic Programming
N-Queens,Hard,Backtracking